	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs
PWY-7392	6.5660824792174e-06	1.9700632070132116e-05	8.748407962883627e-06	7.414137638705926e-06	7.456278090483265e-06	5.0976867004073876e-05	7.940790465910333e-06	2.682192282683991e-05	3.177936614513095e-05
PWY-7560	3.376962258770996e-05	3.7508445210164756e-05	0.00012897423709389998	0.00011001665464884117	0.00013325369662596444	6.829106510060579e-05	0.00011954895128591731	4.001240608124599e-05	3.52779465848022e-05
PWY-1042	8.8631101649343e-05	0.0001847845404510643	0.0001872122349401824	0.00019808856178576124	0.00021248293016162072	0.0001231365094150008	0.00023953095744672212	0.00016353459730075176	0.00013233550689046049
PWY-5464	6.91226381813285e-05	0.0	0.00017342940276422438	0.00021026735342994775	0.00022516174683440032	4.1787468995296556e-05	0.00023823820466991612	5.046516381981829e-05	3.170072130664229e-05
PWY-5659	2.062014786253193e-05	1.3882368479138695e-05	0.00012264557279872534	2.9402102951543016e-05	0.00010856263295532075	4.1823990076502455e-05	0.00012237629253030623	5.9426429172705956e-05	2.270558718591687e-05
PWY-7323	2.0854317882260256e-05	9.12955183715565e-06	9.741151798937659e-05	1.7729634125468965e-05	3.508960078499092e-05	2.859213085901501e-05	3.683959717177856e-05	4.17659660060643e-05	1.5080880423251934e-05
PWY-6588	3.9990457005061805e-06	5.133140378476304e-06	2.488135266860531e-06	4.5292900432801366e-05	6.585074768816287e-06	1.5093782738413104e-06	1.873012142685285e-05	1.4201516248790951e-05	5.309167249974473e-06
ANAEROFRUCAT-PWY	3.0954564861438184e-05	2.8446044768423325e-05	0.0001389299042920632	0.0001328920422502597	0.00015608688365457228	5.386957600351441e-05	0.00015357030999415327	3.212542301965782e-05	4.28529267449604e-05
ANAGLYCOLYSIS-PWY	0.00011272011245619463	0.0001547994816835377	0.00018722142220216443	0.0001964589353907027	0.0002016788829218166	0.00013799886083814425	0.00020213430517913655	0.00014013695955795213	0.00010770398615494829
GLYCOLYSIS	4.7066933148269125e-05	2.985872389374212e-05	0.00017901092036519522	0.00020196659477857143	0.00018041110330273538	8.782710917269404e-05	0.00017633737383006195	3.6176487325113606e-05	3.9069793867544505e-05
P461-PWY	3.5232259752544236e-06	8.864075110304132e-06	7.743050565451394e-05	7.592641246880722e-05	0.0001316631439434767	1.2700362451750878e-06	9.163791135366711e-05	1.2289413779474304e-05	2.568798493071229e-06
PWY-2221	1.2245200619090352e-06	5.67722183469701e-06	2.832764265917573e-05	6.452808118286404e-05	2.635576143926914e-05	2.9542537608167256e-07	3.192731211192449e-05	2.400387827471398e-06	5.448300290258469e-07
PWY-5484	4.671709146374133e-05	2.9773803934284738e-05	0.0001655864701030152	0.0001814521162213752	0.00016812507428110943	8.700788598900105e-05	0.00016435597091043986	3.4911371282115165e-05	3.905502214491995e-05
PWY-7345	2.8114882569362867e-05	2.5075451741155523e-05	0.00011619467994081577	0.00016705329452579686	0.00017425518327296837	4.5813261335042734e-05	0.00016858356989310556	2.647591804451726e-05	3.562895396619645e-05
PWY66-399	3.128905946740881e-05	2.4858769445216514e-05	5.20228495033132e-05	9.32218425547204e-06	7.907272230423435e-05	2.7140526275788425e-05	9.279795528098563e-06	2.159005710807609e-05	2.927746708305744e-05
PWY-7456	1.5098976019480323e-05	7.427212852392686e-06	8.194228429379949e-05	7.466794530218921e-06	1.8000946596595688e-05	4.0078602370001296e-05	9.66768205384181e-06	5.814034760397405e-05	1.173433333467212e-05
PWY-6572	4.3127215950425186e-07	7.277785070406051e-07	7.372829522864468e-08	1.3822060420084956e-07	1.176690014841409e-07	8.323588877030812e-07	1.1253994802647997e-07	9.236620078871589e-07	6.687084199877799e-07
PWY-6749	1.3168698737767431e-06	6.920773569330032e-07	9.523922821026731e-07	4.030486595937049e-08	4.358872041292866e-08	1.3058898616475435e-07	4.358904434421242e-08	1.5885917311395145e-07	2.1005523839374848e-09
PWY-6386	6.805565825495561e-05	0.0001334821649508684	0.00013073364614250778	0.00012419167089401464	0.00015349854182958192	0.0001254210697009038	0.00016807503876915453	0.00011173344759936455	0.00010052965835182713
FERMENTATION-PWY	2.8839102112806247e-05	2.3345539228242256e-05	0.00014335106326889067	0.0002450308438632801	0.000197492952532308	4.5774443064625325e-05	0.00016858249845129109	3.765609576187311e-05	7.36678692726564e-05
P161-PWY	1.893598559152806e-06	5.54636373319225e-06	6.98470666389404e-05	0.00020636564108510633	0.0002533212632985589	6.52566398585945e-07	0.0002213392999759619	7.798142704448151e-06	1.3672413821552084e-06
PWY0-1297	2.809089527105982e-06	7.946355402567996e-06	7.331066906208991e-05	0.00014224265266894954	0.00014251291332716522	9.82957887928279e-07	0.00017935125720918612	1.1944188998412464e-05	2.0522591044382435e-06
PWY0-1298	2.581517672893036e-05	3.857291225308293e-05	9.561045406204206e-05	0.00011917602836066802	0.00014256278519181719	9.964289290689845e-05	0.00016616886450641279	5.116350506441627e-05	7.024809423855927e-05
PWY0-1477	1.893598559152806e-06	5.54636373319225e-06	6.98470666389404e-05	0.00020636564108510633	0.0002533212632985589	6.52566398585945e-07	0.0002213392999759619	7.798142704448151e-06	1.3672413821552084e-06
PWY4LZ-257	2.2129880466805095e-06	6.029233562980586e-06	5.053288030516377e-05	2.908004764755549e-05	2.3528889789754053e-05	8.103737121510785e-07	1.9202236963872207e-05	9.179174599464757e-06	1.6968197873515194e-06
PWY-7111	4.7694686124538364e-05	9.070939050682843e-05	0.00025246757831977324	0.00028192253931262645	0.00023296333418503106	6.903871674387471e-05	0.0002561749157709154	6.613944432328899e-05	7.88745680597078e-05
